earningsGrowth,revenueGrowth,symbol,Date
1.95,0.151,TALBROAUTO,2024-07-07
1.95,0.151,TALBROAUTO,2024-07-13
1.95,0.151,TALBROAUTO,2024-07-20
1.95,0.151,TALBROAUTO,2024-07-27
1.95,0.151,TALBROAUTO,2024-08-03
0.184,0.144,TALBROAUTO,2024-08-10
0.184,0.144,TALBROAUTO,2024-08-17
0.184,0.144,TALBROAUTO,2024-08-24
0.184,0.144,TALBROAUTO,2024-09-01
0.184,0.144,TALBROAUTO,2024-09-08
0.184,0.144,TALBROAUTO,2024-09-15
0.184,0.144,TALBROAUTO,2024-09-21
0.184,0.144,TALBROAUTO,2024-09-28
0.184,0.144,TALBROAUTO,2024-10-05
0.184,0.144,TALBROAUTO,2024-10-12
0.184,0.144,TALBROAUTO,2024-10-19
