earningsGrowth,revenueGrowth,symbol,Date
-0.052,0.333,PLATIND,2024-07-07
-0.052,0.333,PLATIND,2024-07-13
-0.052,0.333,PLATIND,2024-07-20
-0.052,0.333,PLATIND,2024-07-27
-0.052,0.333,PLATIND,2024-08-03
-0.052,0.333,PLATIND,2024-08-10
0.114,0.672,PLATIND,2024-08-17
0.114,0.672,PLATIND,2024-08-24
0.114,0.672,PLATIND,2024-09-01
0.114,0.672,PLATIND,2024-09-08
0.114,0.672,PLATIND,2024-09-15
0.115,0.658,PLATIND,2024-09-21
0.115,0.658,PLATIND,2024-09-28
0.115,0.658,PLATIND,2024-10-05
0.115,0.658,PLATIND,2024-10-12
0.115,0.658,PLATIND,2024-10-19
