priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
,,,,,NV20BEES,2024-07-07
,,,,,NV20BEES,2024-07-13
,,,,,NV20BEES,2024-07-20
,,,,,NV20BEES,2024-07-27
,,,,,NV20BEES,2024-08-03
,,,,,NV20BEES,2024-08-10
,,,,,NV20BEES,2024-08-17
,,,,,NV20BEES,2024-08-24
,,,,,NV20BEES,2024-09-01
,,,,,NV20BEES,2024-09-08
,,,,,NV20BEES,2024-09-15
,,,,,NV20BEES,2024-09-21
,,,,,NV20BEES,2024-09-28
,,,,,NV20BEES,2024-10-05
,,,,,NV20BEES,2024-10-12
,,,,,NV20BEES,2024-10-19
