earningsGrowth,revenueGrowth,symbol,Date
0.279,0.137,GANDHITUBE,2024-07-07
0.279,0.137,GANDHITUBE,2024-07-13
0.279,0.137,GANDHITUBE,2024-07-20
0.278,0.137,GANDHITUBE,2024-07-27
0.278,0.137,GANDHITUBE,2024-08-03
0.278,0.137,GANDHITUBE,2024-08-10
-0.092,-0.117,GANDHITUBE,2024-08-17
-0.092,-0.117,GANDHITUBE,2024-08-24
-0.092,-0.117,GANDHITUBE,2024-09-01
-0.092,-0.117,GANDHITUBE,2024-09-08
-0.092,-0.117,GANDHITUBE,2024-09-15
-0.092,-0.117,GANDHITUBE,2024-09-21
-0.092,-0.117,GANDHITUBE,2024-09-28
-0.092,-0.117,GANDHITUBE,2024-10-05
-0.092,-0.117,GANDHITUBE,2024-10-12
-0.092,-0.117,GANDHITUBE,2024-10-19
