earningsGrowth,revenueGrowth,symbol,Date
-0.012,0.057,FAIRCHEMOR,2024-07-07
-0.012,0.057,FAIRCHEMOR,2024-07-13
-0.012,0.057,FAIRCHEMOR,2024-07-20
-0.012,0.057,FAIRCHEMOR,2024-07-27
-0.012,0.057,FAIRCHEMOR,2024-08-03
1.264,0.027,FAIRCHEMOR,2024-08-10
1.264,0.027,FAIRCHEMOR,2024-08-17
1.264,0.027,FAIRCHEMOR,2024-08-24
1.264,0.027,FAIRCHEMOR,2024-09-01
1.264,0.027,FAIRCHEMOR,2024-09-08
1.264,0.027,FAIRCHEMOR,2024-09-15
1.264,0.027,FAIRCHEMOR,2024-09-21
1.264,0.027,FAIRCHEMOR,2024-09-28
1.264,0.027,FAIRCHEMOR,2024-10-05
1.264,0.027,FAIRCHEMOR,2024-10-12
1.264,0.027,FAIRCHEMOR,2024-10-19
