earningsGrowth,revenueGrowth,symbol,Date
0.029,1.132,HDFCBANK,2024-07-07
0.029,1.132,HDFCBANK,2024-07-13
0.029,1.132,HDFCBANK,2024-07-20
-0.02,1.18,HDFCBANK,2024-07-27
-0.02,1.18,HDFCBANK,2024-08-03
-0.02,1.18,HDFCBANK,2024-08-10
-0.02,1.18,HDFCBANK,2024-08-17
-0.02,1.18,HDFCBANK,2024-08-24
-0.02,1.18,HDFCBANK,2024-09-01
-0.02,1.18,HDFCBANK,2024-09-08
-0.02,1.18,HDFCBANK,2024-09-15
-0.02,1.18,HDFCBANK,2024-09-21
-0.02,1.18,HDFCBANK,2024-09-28
-0.02,1.18,HDFCBANK,2024-10-05
-0.02,1.18,HDFCBANK,2024-10-12
-0.02,1.18,HDFCBANK,2024-10-19
