earningsGrowth,revenueGrowth,symbol,Date
0.313,0.002,HINDALCO,2024-07-07
0.313,0.002,HINDALCO,2024-07-13
0.313,0.002,HINDALCO,2024-07-20
0.313,0.002,HINDALCO,2024-07-27
0.312,0.002,HINDALCO,2024-08-03
0.312,0.002,HINDALCO,2024-08-10
0.252,0.076,HINDALCO,2024-08-17
0.252,0.076,HINDALCO,2024-08-24
0.252,0.076,HINDALCO,2024-09-01
0.252,0.076,HINDALCO,2024-09-08
0.252,0.076,HINDALCO,2024-09-15
0.252,0.076,HINDALCO,2024-09-21
0.252,0.076,HINDALCO,2024-09-28
0.252,0.076,HINDALCO,2024-10-05
0.252,0.076,HINDALCO,2024-10-12
0.252,0.076,HINDALCO,2024-10-19
