earningsGrowth,revenueGrowth,symbol,Date
-0.495,-0.097,MAANALU,2024-07-07
-0.495,-0.097,MAANALU,2024-07-13
-0.495,-0.097,MAANALU,2024-07-20
-0.495,-0.097,MAANALU,2024-07-27
-0.495,-0.097,MAANALU,2024-08-03
-0.495,-0.097,MAANALU,2024-08-10
-0.664,-0.141,MAANALU,2024-08-17
-0.664,-0.147,MAANALU,2024-08-24
-0.664,-0.147,MAANALU,2024-09-01
-0.664,-0.147,MAANALU,2024-09-08
-0.664,-0.147,MAANALU,2024-09-15
-0.664,-0.147,MAANALU,2024-09-21
-0.664,-0.147,MAANALU,2024-09-28
-0.664,-0.147,MAANALU,2024-10-05
-0.664,-0.147,MAANALU,2024-10-12
-0.664,-0.147,MAANALU,2024-10-19
