quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
,,,0.27754998,,,0.36795,0.017380001,0.16178,CSBBANK,2024-07-07
,,,0.27754998,,,0.36795,0.017380001,0.16178,CSBBANK,2024-07-13
,,,0.27754998,,,0.36795,0.017380001,0.16178,CSBBANK,2024-07-20
,,,0.27754998,,,0.36795,0.017380001,0.16178,CSBBANK,2024-07-27
,,,0.26383,,,0.2967,,,CSBBANK,2024-08-03
,,,0.26383,,,0.2967,,,CSBBANK,2024-08-10
,,,0.26383,,,0.2967,,,CSBBANK,2024-08-17
,,,0.26383,,,0.2967,,,CSBBANK,2024-08-24
,,,0.26383,,,0.2967,,,CSBBANK,2024-09-01
,,,0.26383,,,0.2967,,,CSBBANK,2024-09-08
,,,0.26383,,,0.2967,,,CSBBANK,2024-09-15
,,,0.26383,,,0.2967,,,CSBBANK,2024-09-21
,,,0.26383,,,0.2967,,,CSBBANK,2024-09-28
,,,0.26383,,,0.2967,,,CSBBANK,2024-10-05
,,,0.26383,,,0.2967,,,CSBBANK,2024-10-12
,,,0.26383,,,0.2967,,,CSBBANK,2024-10-19
