earningsGrowth,revenueGrowth,symbol,Date
,1.624,UNITECH,2024-07-07
,1.624,UNITECH,2024-07-13
,1.624,UNITECH,2024-07-20
,1.624,UNITECH,2024-07-27
,1.624,UNITECH,2024-08-03
,1.624,UNITECH,2024-08-10
,-0.118,UNITECH,2024-08-17
,-0.118,UNITECH,2024-08-24
,-0.118,UNITECH,2024-09-01
,-0.118,UNITECH,2024-09-08
,-0.118,UNITECH,2024-09-15
,-0.118,UNITECH,2024-09-21
,-0.118,UNITECH,2024-09-28
,-0.118,UNITECH,2024-10-05
,-0.118,UNITECH,2024-10-12
,-0.118,UNITECH,2024-10-19
