earningsGrowth,revenueGrowth,symbol,Date
-0.601,0.091,RUSHIL,2024-07-07
-0.601,0.091,RUSHIL,2024-07-13
-0.601,0.091,RUSHIL,2024-07-20
-0.601,0.091,RUSHIL,2024-07-27
-0.601,0.091,RUSHIL,2024-08-03
-0.232,0.167,RUSHIL,2024-08-10
-0.232,0.167,RUSHIL,2024-08-17
-0.232,0.167,RUSHIL,2024-08-24
-0.232,0.167,RUSHIL,2024-09-01
-0.232,0.167,RUSHIL,2024-09-08
-0.232,0.167,RUSHIL,2024-09-15
-0.232,0.167,RUSHIL,2024-09-21
-0.232,0.167,RUSHIL,2024-09-28
-0.232,0.167,RUSHIL,2024-10-05
-0.232,0.167,RUSHIL,2024-10-12
-0.232,0.167,RUSHIL,2024-10-19
