earningsGrowth,revenueGrowth,symbol,Date
,0.111,SURYALAXMI,2024-07-07
,0.111,SURYALAXMI,2024-07-13
,0.111,SURYALAXMI,2024-07-20
,0.111,SURYALAXMI,2024-07-27
,0.112,SURYALAXMI,2024-08-03
,0.112,SURYALAXMI,2024-08-10
,0.112,SURYALAXMI,2024-08-17
-0.611,-0.091,SURYALAXMI,2024-08-24
-0.611,-0.091,SURYALAXMI,2024-09-01
-0.611,-0.091,SURYALAXMI,2024-09-08
-0.611,-0.091,SURYALAXMI,2024-09-15
-0.611,-0.091,SURYALAXMI,2024-09-21
-0.611,-0.091,SURYALAXMI,2024-09-28
-0.611,-0.091,SURYALAXMI,2024-10-05
-0.611,-0.091,SURYALAXMI,2024-10-12
-0.611,-0.091,SURYALAXMI,2024-10-19
